record,fs,sig_len,duration_sec,n_sig,sig_name,units
p00000_s00,250.0,1048577,4194.308,1,ecg,mV
p00000_s01,250.0,1048577,4194.308,1,ecg,mV
p00000_s02,250.0,1048577,4194.308,1,ecg,mV
p00000_s03,250.0,1048577,4194.308,1,ecg,mV
p00000_s04,250.0,1048577,4194.308,1,ecg,mV
p00000_s05,250.0,1048577,4194.308,1,ecg,mV
p00000_s06,250.0,1048577,4194.308,1,ecg,mV
p00000_s07,250.0,1048577,4194.308,1,ecg,mV
p00000_s08,250.0,1048577,4194.308,1,ecg,mV
p00000_s09,250.0,1048577,4194.308,1,ecg,mV
p00000_s10,250.0,1048577,4194.308,1,ecg,mV
p00000_s11,250.0,1048577,4194.308,1,ecg,mV
p00000_s12,250.0,1048577,4194.308,1,ecg,mV
p00000_s13,250.0,1048577,4194.308,1,ecg,mV
p00000_s14,250.0,1048577,4194.308,1,ecg,mV
p00000_s15,250.0,1048577,4194.308,1,ecg,mV
p00000_s16,250.0,1048577,4194.308,1,ecg,mV
p00000_s17,250.0,1048577,4194.308,1,ecg,mV
p00000_s18,250.0,1048577,4194.308,1,ecg,mV
p00000_s19,250.0,1048577,4194.308,1,ecg,mV
p00000_s20,250.0,1048577,4194.308,1,ecg,mV
p00000_s21,250.0,1048577,4194.308,1,ecg,mV
p00000_s22,250.0,1048577,4194.308,1,ecg,mV
p00000_s23,250.0,1048577,4194.308,1,ecg,mV
p00000_s24,250.0,1048577,4194.308,1,ecg,mV
p00000_s25,250.0,1048577,4194.308,1,ecg,mV
p00000_s26,250.0,1048577,4194.308,1,ecg,mV
p00000_s27,250.0,1048577,4194.308,1,ecg,mV
p00000_s28,250.0,1048577,4194.308,1,ecg,mV
p00000_s29,250.0,1048577,4194.308,1,ecg,mV
p00000_s30,250.0,1048577,4194.308,1,ecg,mV
p00000_s31,250.0,1048577,4194.308,1,ecg,mV
p00000_s32,250.0,1048577,4194.308,1,ecg,mV
p00000_s33,250.0,1048577,4194.308,1,ecg,mV
p00000_s34,250.0,1048577,4194.308,1,ecg,mV
p00000_s35,250.0,1048577,4194.308,1,ecg,mV
p00000_s36,250.0,1048577,4194.308,1,ecg,mV
p00000_s37,250.0,1048577,4194.308,1,ecg,mV
p00000_s38,250.0,1048577,4194.308,1,ecg,mV
p00000_s39,250.0,1048577,4194.308,1,ecg,mV
p00000_s40,250.0,1048577,4194.308,1,ecg,mV
p00000_s41,250.0,1048577,4194.308,1,ecg,mV
p00000_s42,250.0,1048577,4194.308,1,ecg,mV
p00000_s43,250.0,1048577,4194.308,1,ecg,mV
p00000_s44,250.0,1048577,4194.308,1,ecg,mV
p00000_s45,250.0,1048577,4194.308,1,ecg,mV
p00000_s46,250.0,1048577,4194.308,1,ecg,mV
p00000_s47,250.0,1048577,4194.308,1,ecg,mV
p00000_s48,250.0,1048577,4194.308,1,ecg,mV
p00000_s49,250.0,1048577,4194.308,1,ecg,mV
